Moisture,Temperature,Humidity,Crop
70,22,75,Rice
75,24,80,Rice
68,23,78,Rice
72,25,82,Rice
65,21,76,Rice

30,30,50,Cotton
35,32,55,Cotton
28,31,48,Cotton
40,33,52,Cotton
32,29,50,Cotton

45,26,65,Wheat
50,24,60,Wheat
48,25,62,Wheat
52,23,58,Wheat
55,27,64,Wheat

55,28,70,Maize
60,29,72,Maize
58,27,68,Maize
62,30,75,Maize
57,28,69,Maize

35,25,55,Chickpea
38,24,58,Chickpea
42,26,60,Chickpea
36,23,54,Chickpea
40,25,57,Chickpea

50,30,65,Sugarcane
55,31,68,Sugarcane
60,32,70,Sugarcane
58,30,67,Sugarcane
62,33,72,Sugarcane

45,22,55,Barley
48,21,58,Barley
50,23,60,Barley
52,22,57,Barley
47,24,56,Barley

35,28,45,Millet
38,29,48,Millet
40,30,50,Millet
42,31,52,Millet
36,27,46,Millet
