Moisture,Temperature,Humidity,Rainfall,Irrigation
20,38,40,0,1
25,36,45,2,1
30,35,50,10,0
70,28,75,50,0
15,40,35,0,1
18,39,38,0,1
22,37,42,1,1
28,34,48,5,0
35,33,55,12,0
40,32,60,15,0
12,41,30,0,1
16,39,34,0,1
24,36,46,3,1
32,35,52,8,0
45,30,65,20,0
50,29,68,25,0
14,42,28,0,1
19,38,36,0,1
26,35,47,4,1
38,33,58,14,0
42,31,62,18,0
55,28,72,30,0
60,27,75,35,0
10,43,25,0,1
13,42,29,0,1
17,40,33,0,1
21,37,41,2,1
29,34,50,6,0
34,33,56,10,0
48,30,66,22,0
52,29,70,28,0
65,27,78,40,0
11,44,24,0,1
15,41,31,0,1
23,36,44,3,1
27,35,49,5,0
36,32,57,12,0
44,31,63,17,0
58,28,73,32,0
68,26,80,45,0
9,45,22,0,1
14,41,30,0,1
20,38,39,1,1
31,34,53,9,0
39,32,59,13,0
47,30,67,21,0
56,28,74,31,0
62,27,76,38,0
72,25,82,55,0
18,39,37,0,1
